ID,Name,Address,Phone Number,International Phone Number,Opening hours,Website,Business status,Rating,Total Reviewers,Google maps URL,Latitude,Longitude
ChIJm6zeDuRlVhMR3itUdp_hF2w,Zaharchev Winery and Distillery,"Kosovska 16, Kavadarci",070 253 103,+389 70 253 103,"['Monday: 2:00\u2009–\u200910:00\u202fPM', 'Tuesday: 2:00\u2009–\u200910:00\u202fPM', 'Wednesday: 2:00\u2009–\u200910:00\u202fPM', 'Thursday: 2:00\u2009–\u200910:00\u202fPM', 'Friday: 2:00\u2009–\u200910:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u200910:00\u202fPM']",https://www.zaharchev.mk/,OPERATIONAL,5,14,https://maps.google.com/?cid=7788942155561839582,41.4360468,22.0048696
ChIJpQh2dD7rVhMRPAhHv6_3g1U,Sarika Winery,"Mirche Acev 128, Prilep",071 278 316,+389 71 278 316,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,OPERATIONAL,5,5,https://maps.google.com/?cid=6162041049373411388,41.3403377,21.5624017
ChIJcd6RyOt7VhMRQgC0X5PG-UQ,Winery „Lazar“,"Naseleno mesto bez ulicen sistem MK, Stobi, Palikura",071 281 566,+389 71 281 566,"['Monday: 12:00\u2009–\u20099:00\u202fPM', 'Tuesday: 12:00\u2009–\u20099:00\u202fPM', 'Wednesday: 12:00\u2009–\u20099:00\u202fPM', 'Thursday: 12:00\u2009–\u20099:00\u202fPM', 'Friday: 12:00\u2009–\u20099:00\u202fPM', 'Saturday: 12:00\u2009–\u20099:00\u202fPM', 'Sunday: 12:00\u2009–\u20099:00\u202fPM']",http://www.lazarwinery.mk/,OPERATIONAL,4.8,305,https://maps.google.com/?cid=4970222000048177218,41.546456,21.9724705
ChIJpakyuTFxVhMR_EjfaTM9PW0,Family Winery „Nalej“,Timjanik,071 963 630,+389 71 963 630,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,OPERATIONAL,5,2,https://maps.google.com/?cid=7871515014742362364,41.4688812,22.0836355
ChIJD5iYCoplVhMRX4S-I8otEHI,Family Winery „Peškov“,"C2G3+7HV, Kavadarci",070 204 799,+389 70 204 799,[],N/A,OPERATIONAL,4.6,10,https://maps.google.com/?cid=8219119666157487199,41.4257402,22.0039119
ChIJ-y85mZ1lVhMRsDJ9TUrkyR4,Winery „Badi“,"Pere Toshev 3, Kavadartsi 1430",077 832 746,+389 77 832 746,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",https://www.instagram.com/badiwinery/?hl=en,OPERATIONAL,5,11,https://maps.google.com/?cid=2218555299235443376,41.4321479,22.0061189
ChIJibR19sRxVhMRurAbtiRiA20,Notkov Winery,"Leninova 35, Negotino",071 229 766,+389 71 229 766,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=7855230084877889722,41.48324,22.0946753
ChIJbUOE48B6VhMRt6WbQXwj0r8,Winery „Popov“,"F2RC+JH6, Sopot",043 551 000,+389 43 551 000,[],http://popovwinery.com.mk/,OPERATIONAL,4.6,30,https://maps.google.com/?cid=13822149222937109943,41.4915359,22.0213826
ChIJncrr3FNxVhMRftvAE4j7mTY,Family Winery „Tomov“,Timjanik,076 808 994,+389 76 808 994,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",https://family-winery-tomov.business.site/?utm_source=gmb&utm_medium=referral,OPERATIONAL,5,7,https://maps.google.com/?cid=3934452311350369150,41.4676689,22.0844239
ChIJVUQLkQplVhMR8VcH0GothLk,Ivanov Winery,"MK MK, Igman 11, Kavadarci",075 350 084,+389 75 350 084,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",N/A,OPERATIONAL,5,1,https://maps.google.com/?cid=13367859530722400241,41.4358661,22.0053509
