ID,Name,Address,Phone Number,International Phone Number,Opening hours,Website,Business status,Rating,Total Reviewers,Google maps URL,Latitude,Longitude
ChIJi-Nf-9VlVhMRUp0SY3NEJ90,Jakovlevski winery,"4th of July 16, Kavadarci",N/A,N/A,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=15935781068847881554,41.4380905,22.0098042
ChIJMYidOO9pVhMR17K7j6ywI3Y,Winery „Grkov“,109,02 309 2641,+389 2 309 2641,[],N/A,OPERATIONAL,4.5,4,https://maps.google.com/?cid=8512841975852675799,41.3125587,22.1266275
ChIJBdNGt9llVhMR2m2SDzUV02o,Winery „Eros“,"MK, Marshal Tito 59, Marena",071 375 795,+389 71 375 795,"['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",N/A,OPERATIONAL,4.5,10,https://maps.google.com/?cid=7697519505745014234,41.4667585,22.0301764
ChIJy1BQcORpVhMRxhAHDwACTSM,Traikovsky Wines & Spirits,"109, Krnjevo",043 370 287,+389 43 370 287,[],http://www.traikovsky.com/,OPERATIONAL,4,8,https://maps.google.com/?cid=2543691563809575110,41.3069873,22.1272005
ChIJhe7WrLBpVhMRZ060JgHsc-0,Krnjevo - winery and vineyards,109 1437,N/A,N/A,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=17110278898999119463,41.3154884,22.1280649
ChIJ25agap5lVhMRLu8i82C9FKQ,Winery „Ilijevi“,"C2MH+X8J, Kavadarci",N/A,N/A,[],N/A,OPERATIONAL,4.9,7,https://maps.google.com/?cid=11823283145848057646,41.43495069999999,22.0282654
ChIJQVCrbZdlVhMR4nQgwIN8gtw,МГ Винарија / MG-Winery,"Industriska 2, Kavadarci",070 253 465,+389 70 253 465,[],N/A,OPERATIONAL,0,0,https://maps.google.com/?cid=15889399340622443746,41.4424115,21.9999839
ChIJG042u7t-VhMR9v8IfVv81yU,Winery „Stobi“,"Avtopat b.b., Gradsko",078 221 427,+389 78 221 427,"['Monday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']",http://stobiwinery.mk,OPERATIONAL,4.7,374,https://maps.google.com/?cid=2726925569266089974,41.5812326,21.9362267
ChIJi8-UuTlxVhMRm15XfkrI8AU,Winery „Paragon“,"G4C8+R4, Krivolak",071 302 478,+389 71 302 478,"['Monday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']",N/A,OPERATIONAL,4.8,12,https://maps.google.com/?cid=428062186872987291,41.5220625,22.1153125
ChIJUS7p5LtlVhMRnFsVJ5T-icg,Винарија „Вардар“,"C2Q2+CHG, Kavadarci",N/A,N/A,[],N/A,OPERATIONAL,5,1,https://maps.google.com/?cid=14450360791659273116,41.4385582,22.0014642
